UF,PIB_milhoes,PIB_per_capita,IDHM_2021,Esperanca_vida_anos,Mort_infantil_pmil,Gini,Analfabetismo_perc,centro,centro-direita,centro-esquerda,direita,esquerda,total_votos,centro_perc,centro-direita_perc,centro-esquerda_perc,direita_perc,esquerda_perc
AC,23676,28525,"0,71",75.3,15.5,0.52,12.13,20122,3269,12314,275905,129307,440917,4.563670713535655,0.741409380903889,2.792815881447075,62.575269268365695,29.326834755747683
AL,76066,24322,"0,684",73.3,13.8,0.5,17.66,67411,13133,43542,624674,975457,1724217,3.909658703051878,0.7616790693978773,2.5253201888161407,36.22943051831643,56.573911520417674
AM,145140,36827,"0,7",73.0,16.0,0.51,6.94,87060,22214,44527,881838,1021037,2056676,4.23304399915203,1.0800923431789937,2.1649982787760447,42.876855664188234,49.6450097147047
AP,23614,32194,"0,688",75.0,18.1,0.53,6.47,27497,4191,14670,188042,197761,432161,6.362675021577606,0.9697774671939392,3.3945682280446405,43.51202445384937,45.76095482933444
BA,402647,28483,"0,691",74.5,14.0,0.51,12.6,197305,76651,217224,2053250,5878578,8423008,2.342452957423286,0.910019318514241,2.578936171021089,24.376683484094993,69.7919080689464
CE,213601,24296,"0,734",74.8,12.0,0.52,14.12,66214,31527,369222,1380521,3581780,5429264,1.219575986726746,0.5806864429506466,6.800590282587106,25.427405998308426,65.97174128942707
DF,328790,116713,"0,814",79.9,9.6,0.54,2.77,105377,18277,74308,912469,652144,1762575,5.978582471667872,1.0369487823213197,4.2158773385529695,51.76908784023375,36.99950356722409
ES,182549,47619,"0,771",78.9,10.8,0.49,5.62,85325,18285,56221,1162159,899140,2221130,3.8415131036904637,0.823229617356931,2.531189079432541,52.32287169143635,40.48119650808372
GO,318586,45156,"0,737",74.9,12.7,0.46,5.49,170742,39715,90695,1922903,1457414,3681469,4.637876890991069,1.078781323433662,2.463554629958856,52.23194871395087,39.58783844166554
MA,139789,20633,"0,676",71.9,14.0,0.49,15.05,78254,13077,96095,988609,2605610,3781645,2.0693111066744763,0.34580189309149856,2.5410899225072687,26.142300506790033,68.90149657093673
MT,255527,69839,"0,736",75.3,13.5,0.45,5.81,55989,17086,29437,1105606,634770,1842888,3.038111919986456,0.9271317627549801,1.5973298431592156,59.99311949505341,34.44430697904593
MS,166407,60365,"0,742",76.7,13.5,0.48,5.39,79719,13275,29314,795415,589266,1506989,5.2899523486900035,0.8808956137038825,1.9452033160162414,52.78173895098106,39.10220977060881
MG,906731,44147,"0,774",77.4,5.8,0.47,5.85,500658,142635,310324,5248161,5814855,12016633,4.166375056973114,1.1869797471554635,2.5824538371106116,43.67413900382911,48.3900523549317
PA,236142,29095,"0,69",73.0,14.4,0.51,8.76,204075,25427,116057,1887805,2446572,4679936,4.360636555713582,0.5433193958207976,2.4798843402986708,40.338265309611074,52.27789439855588
PB,86094,21662,"0,698",74.6,13.2,0.56,15.96,57154,12709,76225,719188,1556412,2421688,2.360089326122936,0.5247992309496516,3.1475978738797075,29.69779756929877,64.26971599974894
PR,614611,53710,"0,769",78.4,10.8,0.47,4.31,309685,72108,180599,3634877,2369495,6566764,4.715945327104796,1.0980750945214417,2.750197814326813,55.352636397470654,36.08314536657629
PE,245828,27139,"0,719",75.6,12.6,0.52,13.41,96570,29319,130015,1634385,3561720,5452009,1.7712736717786048,0.537765069720171,2.3847172666075935,29.977665113905715,65.32857887798791
PI,72835,22279,"0,69",71.9,14.2,0.52,17.23,42179,15615,59321,408169,1519102,2044386,2.063162240398829,0.7637990086020938,2.901653601619264,19.965358792321997,74.30602635705782
RJ,1153512,71850,"0,762",77.8,6.5,0.54,3.28,365969,87343,301489,4840552,3861324,9456677,3.869953473085736,0.9236119622146343,3.1881071966400034,51.18660603507976,40.83172133297987
RN,93819,28409,"0,728",76.0,13.6,0.53,13.86,38633,7263,71740,623834,1265794,2007264,1.9246596362013166,0.3618358123296188,3.5740191624021556,31.07882171951472,63.060663669552184
RS,593634,54559,"0,771",78.0,3.6,0.47,3.11,317957,65808,190945,3250302,2812740,6637752,4.7901307551110675,0.9914199867666041,2.876651613377541,48.966909278924554,42.37488836582023
RO,66795,42248,"0,7",72.2,12.0,0.45,6.45,31217,8175,19353,582166,262324,903235,3.456132678649521,0.9050800732921113,2.142631762498132,64.45343681323243,29.0427186723278
RR,21095,33153,"0,699",72.9,17.8,0.55,6.92,12956,1932,6709,207814,68958,298369,4.342274163870911,0.6475203523154215,2.2485579936253433,69.64999715117858,23.11165033900975
SC,466274,61274,"0,792",80.4,9.8,0.42,2.67,191310,69112,88672,2698342,1283548,4330984,4.417240978031782,1.595757453733378,2.0473869217711265,62.30320869345165,29.636405953012062
SP,3130333,70471,"0,806",79.4,6.6,0.5,3.11,1625596,337320,898540,12260788,10534090,25656334,6.336041618416723,1.314763052273953,3.502215086535746,47.78854219780581,41.058438044967765
SE,57372,25965,"0,702",73.8,17.0,0.53,13.81,42073,6610,40247,379437,830065,1298432,3.2402929071372237,0.5090755619085173,3.0996617458596214,29.22270862085962,63.92826116423501
TO,58209,38512,"0,731",74.6,9.5,0.51,9.06,25209,4054,18141,379717,434671,861792,2.925183803052245,0.47041513497456466,2.1050323047788795,44.061328023467375,50.43804073372693
