UF,Estado,2022
SC,Santa Catarina,2.67
DF,Distrito Federal,2.77
RS,Rio Grande do Sul,3.11
SP,São Paulo,3.11
RJ,Rio de Janeiro,3.28
PR,Paraná,4.31
MS,Mato Grosso do Sul,5.39
GO,Goiás,5.49
ES,Espírito Santo,5.62
MT,Mato Grosso,5.81
MG,Minas Gerais,5.85
RO,Rondônia,6.45
AP,Amapá,6.47
RR,Roraima,6.92
AM,Amazonas,6.94
PA,Pará,8.76
TO,Tocantins,9.06
AC,Acre,12.13
BA,Bahia,12.60
PE,Pernambuco,13.41
SE,Sergipe,13.81
RN,Rio Grande do Norte,13.86
CE,Ceará,14.12
MA,Maranhão,15.05
PB,Paraíba,15.96
PI,Piauí,17.23
AL,Alagoas,17.66
