UF,Estado,2022
SC,Santa Catarina,0.42
RO,Rondônia,0.45
MT,Mato Grosso,0.45
GO,Goiás,0.46
MG,Minas Gerais,0.47
RS,Rio Grande do Sul,0.47
PR,Paraná,0.47
MS,Mato Grosso do Sul,0.48
MA,Maranhão,0.49
ES,Espírito Santo,0.49
AL,Alagoas,0.50
SP,São Paulo,0.50
TO,Tocantins,0.51
PA,Pará,0.51
AM,Amazonas,0.51
BA,Bahia,0.51
PE,Pernambuco,0.52
CE,Ceará,0.52
PI,Piauí,0.52
AC,Acre,0.52
RN,Rio Grande do Norte,0.53
SE,Sergipe,0.53
AP,Amapá,0.53
DF,Distrito Federal,0.54
RJ,Rio de Janeiro,0.54
RR,Roraima,0.55
PB,Paraíba,0.56
